distance:67, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:711, material: 2, angle: 34
distance:45, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:380, material: 2, angle: 34
distance:883, material: 2, angle: 34
distance:367, material: 2, angle: 34
distance:39, material: 6, angle: 34
distance:86, material: 0, angle: 33
distance:40, material: 6, angle: 49
distance:710, material: 2, angle: 34
distance:92, material: 0, angle: 60
distance:62, material: 6, angle: 34
distance:485, material: 2, angle: 34
distance:357, material: 2, angle: 34
distance:55, material: 6, angle: 34
distance:59, material: 6, angle: 34
distance:71, material: 6, angle: 34
distance:58, material: 6, angle: 16
distance:168, material: 6, angle: 34
distance:75, material: 0, angle: 60
distance:70, material: 6, angle: 49
distance:58, material: 6, angle: 34
distance:79, material: 6, angle: 50
distance:1023, material: 0, angle: 0
distance:48, material: 6, angle: 34
distance:87, material: 0, angle: 0
distance:616, material: 2, angle: 34
distance:75, material: 6, angle: 34
distance:78, material: 0, angle: 16
distance:655, material: 2, angle: 34
distance:71, material: 6, angle: 13
distance:76, material: 6, angle: 46
distance:75, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:53, material: 6, angle: 34
distance:56, material: 6, angle: 0
distance:62, material: 6, angle: 34
distance:61, material: 6, angle: 34
distance:625, material: 2, angle: 34
distance:56, material: 6, angle: 34
distance:299, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:76, material: 0, angle: 16
distance:41, material: 6, angle: 34
distance:86, material: 0, angle: 33
distance:49, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:56, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:80, material: 0, angle: 51
distance:722, material: 2, angle: 34
distance:561, material: 2, angle: 34
distance:421, material: 2, angle: 34
distance:1017, material: 2, angle: 34
distance:67, material: 6, angle: 52
distance:75, material: 0, angle: 16
distance:373, material: 2, angle: 34
distance:106, material: 6, angle: 31
distance:128, material: 6, angle: 37
distance:46, material: 7, angle: 46
distance:81, material: 6, angle: 34
distance:75, material: 0, angle: 16
distance:474, material: 2, angle: 34
distance:47, material: 5, angle: 49
distance:59, material: 6, angle: 34
distance:577, material: 2, angle: 34
distance:64, material: 6, angle: 23
distance:62, material: 6, angle: 34
distance:55, material: 6, angle: 34
distance:50, material: 5, angle: 16
distance:86, material: 0, angle: 33
distance:76, material: 6, angle: 34
distance:35, material: 6, angle: 52
distance:69, material: 6, angle: 34
distance:651, material: 2, angle: 34
